20230605	15:11:56	6e281acc-faf6-47c5-9791-f2eaff055d63	OPTIONS 	 http://localhost:3000 /auth
20230605	15:11:56	ce3fc3ef-4058-49b4-a771-f3be856bde6a	POST 	 http://localhost:3000 /auth
20230605	15:11:57	1e3c068a-3a2d-4a9e-a209-2f84496ee29f	OPTIONS 	 http://localhost:3000 /ticket
20230605	15:11:57	d6f08dff-cf84-405b-a991-9fbde818e345	GET 	 http://localhost:3000 /ticket
20230605	15:12:02	8cd1ca15-5278-4969-9d94-20b43407655e	GET 	 http://localhost:3000 /refresh
20230605	15:12:02	ece7c652-83a5-41e2-9232-37a201b5fb80	GET 	 http://localhost:3000 /refresh
20230605	15:12:03	7f0a0a98-57ff-497a-a710-af6d38fd52c0	OPTIONS 	 http://localhost:3000 /ticket
20230605	15:12:03	5f67a12c-6a1b-4632-b1ad-85c283c1093f	GET 	 http://localhost:3000 /ticket
20230605	15:12:06	dca96ecb-9148-4ca3-b40e-6b8dec9f07b5	GET 	 http://localhost:3000 /logout
20230605	15:12:15	df36e544-81d7-465a-a4b4-6f73349b7d1e	OPTIONS 	 http://localhost:3000 /auth
20230605	15:12:15	84979c60-60d6-4889-8446-f87e437e3f41	POST 	 http://localhost:3000 /auth
20230605	15:12:19	9386cb0e-906b-45b4-b5f5-763fda89c788	GET 	 http://localhost:3000 /refresh
20230605	15:12:19	91c10017-56ec-4f63-95aa-847cf011aea4	GET 	 http://localhost:3000 /refresh
20230605	15:12:19	3796065c-5d48-4f88-8001-cf80654f3fdc	OPTIONS 	 http://localhost:3000 /ticket
20230605	15:12:19	737fc9a2-0715-45ed-a554-2a6575dbc0da	GET 	 http://localhost:3000 /ticket
20230605	15:12:27	093de7c3-c67a-4411-b6c7-7b823f6a8f66	GET 	 http://localhost:3000 /refresh
20230605	15:12:27	4642aff3-6dc0-45d2-bbcd-eb67402af45a	GET 	 http://localhost:3000 /refresh
